SK_DATA;DATA;NR_ANO;NM_TRIMESTRE;NM_MES;NR_SEMANA;NR_DIA;NM_DIA_SEMANA;NR_DIA_SEMANA
e7327a0ff5b7bc34c7fc7cbad2375e2f6b34bc9e46641e9f5ea64fc897df523c;2017-08-03;2017;3º Trimestre;Agosto;31;3;Quinta-feira;5
184e147c8af8214e43d89836ee1c9663e86182f5806ffd7cd00e9e3798f5df07;2018-08-27;2018;3º Trimestre;Agosto;35;27;Segunda-feira;2
4975814d519bf79fe5d45b551f48decc5e29c679fd6842587bf168ef0e8d6a75;2017-11-21;2017;4º Trimestre;Novembro;47;21;Terça-feira;3
4d9c445729bb53973017541758c4eb976f29f1cdb0e550cf39065fa2ecb5c47f;2017-01-19;2017;1º Trimestre;Janeiro;3;19;Quinta-feira;5
e7d7839bd7f1e53d0c0cfe236f77fe1c22c6000e81b39958e6b49bfd41a85e03;2017-03-27;2017;1º Trimestre;Março;13;27;Segunda-feira;2
663f0e1e1d9722d6f44bf677cf1952956131363fa5f29913b7bf7a145e976d7b;2018-05-11;2018;2º Trimestre;Maio;19;11;Sexta-feira;6
76d5e41504ba9aefec5e6c931b96e7a1bf955d446e7c15b5a00c992e5f2911d9;2017-12-08;2017;4º Trimestre;Dezembro;49;8;Sexta-feira;6
7866f7d2b5fdd5499153df01b16443401fd4a35cdfcffc5c56f2ff9aadbf3776;2017-05-24;2017;2º Trimestre;Maio;21;24;Quarta-feira;4
a3ca9492a7b43387671172b436854d95007da95af4b1df94a5d14df263d4787f;2017-10-30;2017;4º Trimestre;Outubro;44;30;Segunda-feira;2
50530ddf646dc831bf687f957227b21606db80705519ea2d052cda9d7689b820;2019-01-08;2019;1º Trimestre;Janeiro;2;8;Terça-feira;3
794d8412b05b6eafc431c83221ed8c2d124bbe8668afebc9310f26b1702ffda4;2017-07-19;2017;3º Trimestre;Julho;29;19;Quarta-feira;4
915650b47ee0ee0ff01f330e339687039794b660c7be51c6c07ffc147b1c902d;2017-03-20;2017;1º Trimestre;Março;12;20;Segunda-feira;2
dc488e9077fef0236ed3ec9552eb010bea14f6fd43eb6a996e6e4caadb3c59b3;2018-11-26;2018;4º Trimestre;Novembro;48;26;Segunda-feira;2
4f8f0408580e0c1f730e15a4add7613881e5814b72d6163306a661f4efa130b6;2017-03-28;2017;1º Trimestre;Março;13;28;Terça-feira;3
570e69a7c1529067a04f1db2f2533ef865b7c2258eabcc4f689ab70f270b87f9;2017-12-26;2017;4º Trimestre;Dezembro;52;26;Terça-feira;3
5870861616341231e19bf8bc924573b874310d26a876aa9dff5e8b1e30527f48;2018-03-22;2018;1º Trimestre;Março;12;22;Quinta-feira;5
ab0afa4d08c117c997c1ee3500eb23458fa21b57dcc3cafe430f7d6b08af725b;2017-12-07;2017;4º Trimestre;Dezembro;49;7;Quinta-feira;5
bb968b375fb99c2324cbea1c66830bff329c07354cbc8f597ecf5ca698ecbf19;2018-06-01;2018;2º Trimestre;Junho;22;1;Sexta-feira;6
d34823f699dbde2710ebd6b5a9d51d9509308c0206fc1037789d7c8c59f0f02d;2017-04-07;2017;2º Trimestre;Abril;14;7;Sexta-feira;6
3e0dda5616e6b6958bfbb4c40ec34a2097a5e93ccfecaa4e59320fd0ad7be04a;2017-04-04;2017;2º Trimestre;Abril;14;4;Terça-feira;3
10b77b6a5f5937d13c7ae265341128b3ea47cb091c902f1e7ceb3845364003fb;2017-08-21;2017;3º Trimestre;Agosto;34;21;Segunda-feira;2
d30fe86cd65489172350564ecfceb047b0c83081585110865d2e2d36a20724ea;2018-08-26;2018;3º Trimestre;Agosto;34;26;Domingo;1
037c5a07776b5db5253f9a8dafb14cce45f9700dc7ac6c61a449369fb9bae3c0;2017-08-16;2017;3º Trimestre;Agosto;33;16;Quarta-feira;4
306bc7e2a5a494bf46bfba504f56eece0f2f6203364d83b34ffa29082dab0140;2017-11-17;2017;4º Trimestre;Novembro;46;17;Sexta-feira;6
3fc189bf4789a0b5bd7fd545b694dd87bae4e85c5180207f4a09aa3a95556eff;2019-02-04;2019;1º Trimestre;Fevereiro;6;4;Segunda-feira;2
5efedbdbe0fb92641d4596c7ea6a1ad5d387307ca9a4f19ad562b3fd1d8155d5;2018-10-29;2018;4º Trimestre;Outubro;44;29;Segunda-feira;2
6218b0b987d9fe30eee9b4e001277b7c0e533134b2b270f2c5651c45eccf4928;2018-11-08;2018;4º Trimestre;Novembro;45;8;Quinta-feira;5
f7b8c1bda1adafb9ed00249b9d677db5cc7fa4460fb19e89d2194ed82d022087;2018-09-14;2018;3º Trimestre;Setembro;37;14;Sexta-feira;6
0e985fcd4712b4a243e6b88dff1dc4c5975267fe0633de47cfa43b923cfc7cd7;2019-01-20;2019;1º Trimestre;Janeiro;3;20;Domingo;1
461e5d86aaca52c5ba030559429042ee2638e5eeaeb4177de9d6a6c7fafd0f5f;2018-04-28;2018;2º Trimestre;Abril;17;28;Sábado;7
9608305308ac42c00d0033b6165accb6281016326a459bde20ce983b975d8397;2017-07-27;2017;3º Trimestre;Julho;30;27;Quinta-feira;5
4ec6f23bc68ec3f88d51fe9d2e6afdcf6dd7057a4536c0aa72f66930887f609c;2018-04-05;2018;2º Trimestre;Abril;14;5;Quinta-feira;5
58931dddb0e8a0a3e883837df77aa81e8c7c033e7083a3a2a8247d00405d4879;2017-07-07;2017;3º Trimestre;Julho;27;7;Sexta-feira;6
5d82de00ee797d06b9c6f03869fec2908031aba93297abe8c00b348578cb0068;2018-06-03;2018;2º Trimestre;Junho;22;3;Domingo;1
138f3ac194fd4ff400afb449ac710d9c72cb562fc73087b4e59250b04d2d50db;2018-01-09;2018;1º Trimestre;Janeiro;2;9;Terça-feira;3
76e2fdac9710a95e70453d09ed008f3e01ebf677c8c63be3c1201b82c139da2f;2019-02-05;2019;1º Trimestre;Fevereiro;6;5;Terça-feira;3
e2955a99f7bd71b46cb0e12e303a6671db939a581a3cb8c6fadb715ac7f3cbb0;2017-04-06;2017;2º Trimestre;Abril;14;6;Quinta-feira;5
26403d0ed0a034da1b5176aa3f0c0a1cbdd7f1d7cb2e99084533f6d4b84cc1e9;2018-11-22;2018;4º Trimestre;Novembro;47;22;Quinta-feira;5
4e71e5d4e428ea5dff398fe13b51eb2e89147aa3ff02132cfe969812ffeb81eb;2017-02-19;2017;1º Trimestre;Fevereiro;7;19;Domingo;1
99e43500102707d6e3a05ba9116826fc3bb2538ef89d192148ba4a4508b760c9;2018-05-20;2018;2º Trimestre;Maio;20;20;Domingo;1
f2f1e83817ab9b4098869f6daca9eefdd859486f6cc7b14ad2ca1a88f6e27337;2017-07-04;2017;3º Trimestre;Julho;27;4;Terça-feira;3
fb9d892036d15b2c42c716ad5176d464604c87a7cb578adbae965264f1b38e4b;2017-11-07;2017;4º Trimestre;Novembro;45;7;Terça-feira;3
3658b324a9b89ad0435b416f8048cfdff8cce500c5d69b2d20049da7ccd9d1ff;2017-06-15;2017;2º Trimestre;Junho;24;15;Quinta-feira;5
53f372a2ca7eee9dabeafddf82869330943cf807797fdef794b9a03339c08d96;2018-03-19;2018;1º Trimestre;Março;12;19;Segunda-feira;2
